team_id,team_name,country_code,sport_id,event_id,gender
392,DOMOWICZ Nikola/PIWKOWSKA Dominika,POL,9,65,Women
393,DOVHAL Sofiia/KULESZA Wiktor,POL,6,44,Mixed
394,Poland,POL,9,66,Mixed
395,Poland,POL,10,68,Men
396,Poland,POL,13,84,Mixed
397,Poland,POL,11,70,Mixed
398,Poland,POL,14,90,Mixed
399,Poland,POL,13,87,Men
400,Poland,POL,4,34,Men
401,Poland,POL,6,44,Mixed
402,Poland,POL,2,10,Mixed
403,Poland,POL,4,31,Women
404,Poland,POL,4,33,Women
405,Poland,POL,2,18,Women
406,Poland,POL,2,17,Men
407,WEISZEWSKI Linda,POL,3,23,Womwn
408,GITLAN Vasile-Marian/SERBAN Darius-Lucian,ROU,9,64,Men
409,Romania,ROU,2,17,Men
410,Romania,ROU,9,66,Mixed
411,Romania,ROU,13,84,Mixed
412,Romania,ROU,13,87,Men
413,Romania,ROU,4,34,Men
414,STRAMATURARU Raluca/MANOLESCU Mihaela-Carmen,ROU,9,65,Women
415,TENTEA Mihai Cristian,ROU,3,24,Men
416,TENTEA Mihai Cristian,ROU,3,22,Men
417,BOSMAN Christian/MICK Bruno,SVK,9,64,Men
418,CERNANSKA Viktoria,SVK,3,23,Womwn
419,PRAXOVA Viktoria/SPITZOVA Desana,SVK,9,65,Women
420,Slovakia,SVK,14,90,Mixed
421,Slovakia,SVK,4,34,Men
422,Slovakia,SVK,8,60,Men
423,Slovakia,SVK,2,18,Women
424,Slovakia,SVK,2,10,Mixed
425,Slovakia,SVK,1,3,Women
426,Slovenia,SLO,1,3,Women
427,Slovenia,SLO,2,10,Mixed
428,Slovenia,SLO,2,17,Men
429,Slovenia,SLO,2,18,Women
430,Slovenia,SLO,4,33,Women
431,Slovenia,SLO,4,31,Women
432,Slovenia,SLO,4,34,Men
433,Slovenia,SLO,13,87,Men
434,Slovenia,SLO,13,84,Mixed
435,Slovenia,SLO,10,68,Men
436,SMART Olivia/DIECK Tim,ESP,6,43,Mixed
437,Spain,ESP,4,34,Men
438,Spain,ESP,14,90,Mixed
439,VAL Sofia/KAZIMOV Asaf,ESP,6,43,Mixed
440,REITAN Milla Ruud/MAJOROV Nikolaj,SWE,6,43,Mixed
441,Sweden,SWE,2,17,Men
442,Sweden,SWE,2,10,Mixed
443,Sweden,SWE,2,18,Women
444,Sweden,SWE,4,31,Women
445,Sweden,SWE,4,33,Women
446,Sweden,SWE,8,61,Women
447,Sweden,SWE,8,60,Men
448,Sweden,SWE,4,17,Men
449,Sweden,SWE,4,34,Men
450,Sweden,SWE,5,39,Mixed
451,Sweden,SWE,5,37,Women
452,Sweden,SWE,5,38,Men
453,ANNEN Debora,SUI,3,23,Womwn
454,FOLLADOR Cedric,SUI,3,24,Men
455,FOLLADOR Cedric,SUI,3,22,Men
456,HASLER Melanie,SUI,3,23,Womwn
457,ROHNER Timo,SUI,3,24,Men
458,ROHNER Timo,SUI,3,22,Men
459,Switzerland,SUI,5,38,Men
460,Switzerland,SUI,5,37,Women
461,Switzerland,SUI,5,39,Mixed
462,Switzerland,SUI,4,34,Men
463,Switzerland,SUI,4,17,Men
464,Switzerland,SUI,8,60,Men
465,Switzerland,SUI,8,61,Women
466,Switzerland,SUI,13,87,Men
467,Switzerland,SUI,14,90,Mixed
468,Switzerland,SUI,4,33,Women
469,Switzerland,SUI,4,31,Women
470,Switzerland,SUI,2,18,Women
471,Switzerland,SUI,2,17,Men
472,Switzerland,SUI,2,10,Mixed
473,Switzerland 1,SUI,1,3,Women
474,Switzerland 1,SUI,1,2,Men
475,Switzerland 1,SUI,15,99,Mixed
476,Switzerland 2,SUI,1,2,Men
477,Switzerland 2,SUI,1,3,Women
478,Switzerland 3,SUI,1,3,Women
479,Switzerland 3,SUI,1,2,Men
480,Switzerland 4,SUI,1,2,Men
481,Switzerland 4,SUI,1,3,Women
482,VOGT Michael,SUI,3,24,Men
483,VOGT Michael,SUI,3,22,Men
484,LIN Sin-Rong,TPE,3,23,Womwn
485,BROWN Axel,TTO,3,22,Men
486,BROWN Axel,TTO,3,24,Men
487,Türkiye,TUR,13,87,Men
488,HOI Ihor/KACHMAR Nazarii,UKR,9,64,Men
489,MARTSINOVSKYI Danyil/BABURA Bohdan,UKR,9,64,Men
490,STETSKIV Olena/MOKH Oleksandra,UKR,9,65,Women
491,Ukraine,UKR,4,34,Men
492,Ukraine,UKR,13,87,Men
493,Ukraine,UKR,10,68,Men
494,Ukraine,UKR,9,66,Mixed
495,Ukraine,UKR,2,17,Men
496,Ukraine,UKR,2,18,Women
497,Ukraine,UKR,2,10,Mixed
498,Ukraine,UKR,4,33,Women
499,Ukraine,UKR,4,31,Women
500,ARMBRUSTER HUMPHRIES Kaillie,USA,3,23,Womwn
501,CARREIRA Christina/PONOMARENKO Anthony,USA,6,43,Mixed
502,CHAN Emily/HOWE Spencer Akira,USA,6,42,Mixed
503,CHOCK Madison/BATES Evan,USA,6,43,Mixed
504,CURTIS Kelly/BAREFOOT Daniel,USA,12,81,Mixed
505,del DUCA Frankie,USA,3,22,Men
506,del DUCA Frankie,USA,3,24,Men
507,DIGREGORIO Zachary/HOLLANDER Sean,USA,9,64,Men
508,FORGAN Chevonne/KIRKBY Sophia,USA,9,65,Women
509,HORN Kristopher,USA,3,24,Men
510,KAM Ellie/O'SHEA Danny,USA,6,42,Mixed
511,LOVE Kaysha,USA,3,23,Womwn
512,MEYERS TAYLOR Elana,USA,3,23,Womwn
513,MUELLER Marcus/HAUGSJAA Ansel,USA,9,64,Men
514,RO Mystique/FLORIAN Austin,USA,12,81,Mixed
515,United States of America,USA,4,31,Women
516,United States of America,USA,4,33,Women
517,United States of America,USA,2,10,Mixed
518,United States of America,USA,2,18,Women
519,United States of America,USA,2,17,Men
520,United States of America,USA,1,2,Men
521,United States of America,USA,9,66,Mixed
522,United States of America,USA,10,68,Men
523,United States of America,USA,13,84,Mixed
524,United States of America,USA,13,87,Men
525,United States of America,USA,14,90,Mixed
526,United States of America,USA,11,76,Women
527,United States of America,USA,11,70,Mixed
528,United States of America,USA,16,110,Men
529,United States of America,USA,16,111,Women
530,United States of America,USA,4,34,Men
531,United States of America,USA,4,17,Men
532,United States of America,USA,5,39,Mixed
533,United States of America,USA,5,37,Women
534,United States of America,USA,5,38,Men
535,United States of America,USA,6,44,Mixed
536,United States of America,USA,8,61,Women
537,United States of America,USA,8,60,Men
538,United States of America 1,USA,15,99,Mixed
539,United States of America 1,USA,1,3,Women
540,United States of America 2,USA,1,3,Women
541,United States of America 2,USA,15,99,Mixed
542,United States of America 3,USA,1,3,Women
543,United States of America 4,USA,1,3,Women
544,ZINGAS Emilea/KOLESNIK Vadym,USA,6,43,Mixed
