athlete_id,athlete_name,country_code,gender,sports,events
160,BARBIERI Alessandro,USA,M,Snowboard,Men's Snowboard Halfpipe
161,BARBIRATI Jade,FRA,F,Ice Hockey,Women
162,BARCLAY Ben,NZL,M,Freestyle Skiing,Men's Freeski Slopestyle/Men's Freeski Big Air
163,BAREFOOT Daniel,USA,M,Skeleton,Men
164,BARNES Cayla,USA,F,Ice Hockey,Women
165,BARP Elia,ITA,M,Cross-Country Skiing,Men's 10km + 10km Skiathlon/Men's Sprint Classic
166,BARTALIS Henrietta,ROU,F,Snowboard,Women's Snowboard Cross
167,BARTSCH Anne,GER,F,Ice Hockey,Women
168,BARUZZI FARRIOL Francesca,ARG,F,Alpine Skiing,Women's Super-G/Women's Team Combined
169,BASERGA Amy,SUI,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint/Mixed Relay 4 x 6km (M+W)
170,BASHA Faiz Basha Munwar,SGP,M,Alpine Skiing,To be defined
171,BASHMAKOV Nail,KAZ,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
172,BASTIER Etienne,FRA,M,Short Track Speed Skating,Men's 1000m/Mixed Team Relay
173,BATES Evan,USA,M,Figure Skating,Ice Dance/Team Event
174,BATMUNKH Achbadrakh,MGL,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
175,BATNA Oskars,LAT,M,Ice Hockey,Men
176,BATOVSKA FIALKOVA Paulina,SVK,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint/Mixed Relay 4 x 6km (M+W)
177,BAU Mathias,DEN,M,Ice Hockey,Men
178,BAUDRIT Lore,FRA,F,Ice Hockey,Women
179,BAUER Matyas,CZE,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon
180,BAUMEISTER Stefan,GER,M,Snowboard,Men's Parallel Giant Slalom
181,BAUMGARTNER Nick,USA,M,Snowboard,Men's Snowboard Cross
182,BAUMGARTNER Patrick,ITA,M,Bobsleigh,2-man/4-man
183,BAUMGARTNER Samuel,AUT,M,Freestyle Skiing,Men's Freeski Halfpipe
184,BAUR Tobias,SUI,M,Freestyle Skiing,Men's Ski Cross
185,BEBRISS Arnis,LAT,M,Bobsleigh,4-man
186,BECK Madeleine,LIE,F,Alpine Skiing,To be defined
187,BECKER Tim,GER,M,Bobsleigh,To be defined
188,BECKERT Patrick,GER,M,Speed Skating,Men's 5000m/Men's Mass Start/Men's Team Pursuit
189,BEDIR Muhammed Ali,TUR,M,Ski Jumping,Men's NH Individual
190,BEGUE Nicole,ARG,F,Alpine Skiing,Women's Downhill/Women's Super-G/Women's Team Combined
191,BEIERL Katrin,AUT,F,Bobsleigh,2-woman/Women's Monobob
192,BEKKER Phebe,GBR,F,Figure Skating,Ice Dance/Team Event
193,BEKTAS Ozan,LIE,M,Bobsleigh,To be defined
194,BELLEMARE Pierre-Edouard,FRA,M,Ice Hockey,Men
195,BELLINGHAM Phillip,AUS,M,Ski Mountaineering,Men's Sprint/Mixed Relay
196,BELLOIR Mathieu,FRA,M,Speed Skating,Men's 1500m/Men's Mass Start/Men's Team Pursuit
197,BELSHAW Annika,USA,F,Ski Jumping,Women's NH Individual/Mixed Team
198,BELTOWSKA Pola,POL,F,Ski Jumping,Women's NH Individual/Mixed Team
199,BENDIKA Baiba,LAT,F,Biathlon,Women's 15km Individual/Women's 7.5km Sprint/Mixed Relay 4 x 6km (M+W)
200,BENED Camille,FRA,F,Biathlon,Women's 15km Individual
201,BENEDIKTSSON Dagur,ISL,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon/Men's Sprint Classic
202,BENNETT Bryce,USA,M,Alpine Skiing,Men's Downhill
203,BENNETT Sam,CAN,M,Ice Hockey,Men
204,BERANOVA Tereza,CZE,F,Cross-Country Skiing,Women's Sprint Classic
205,BERGER Lea,FRA,F,Ice Hockey,Women
206,BERGER SABBATEL Marielle,FRA,F,Freestyle Skiing,Women's Ski Cross
207,BERGLUND Gustaf,SWE,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon
208,BERGSMA Jorrit,NED,M,Speed Skating,Men's 5000m/Men's 10000m/Men's Mass Start/Men's Team Pursuit
209,BERNI Tim,SUI,M,Ice Hockey,Men
210,BERRA Reto,SUI,M,Ice Hockey,Men
211,BERREITER Anna,GER,F,Luge,Women's Singles
212,BERSET Stefanie,SUI,F,Curling,Women
213,BERTRAND Charles,FRA,M,Ice Hockey,Men
214,BERTSCHLER Daniel,AUT,M,Bobsleigh,2-man/4-man
215,BERTSCHY Christoph,SUI,M,Ice Hockey,Men
216,BERULAVA Luka,GEO,M,Figure Skating,Pair Skating/Team Event
217,BERZINS Gints,LAT,M,Luge,Men's Singles
218,BERZINS Reinis,LAT,M,Short Track Speed Skating,Men's 1000m
219,BETTI Chiara,ITA,F,Short Track Speed Skating,Women's 500m/Women's 3000m Relay/Mixed Team Relay
220,BETTI Francesco,ITA,M,Speed Skating,Men's 1000m/Men's 1500m
221,BEUNE Joy,NED,F,Speed Skating,Women's 1500m/Women's 3000m/Women's Team Pursuit
222,BEYRAMI BAHER Samaneh,IRI,F,Cross-Country Skiing,Women's 10km Interval Start Free
223,BI Ye,CHN,M,Snowboard,Men's Parallel Giant Slalom
224,BICHON Evan,CAN,M,Snowboard,Men's Snowboard Cross
225,BICKNER Kevin,USA,M,Ski Jumping,Men's NH Individual
226,BIERI Cyril,SUI,M,Bobsleigh,4-man
227,BILKA Hannah,USA,F,Ice Hockey,Women
228,BILOTTI Lorenzo,ITA,M,Bobsleigh,4-man
229,BINDILATTI Edson Luques,BRA,M,Bobsleigh,2-man/4-man
230,BINNINGTON Jordan,CAN,M,Ice Hockey,Men
231,BIRKELAND Giorgia,USA,F,Speed Skating,Women's 1500m/Women's 5000m/Women's Mass Start/Women's Team Pursuit
232,BIRKENTALS Renars,LAT,M,Biathlon,Men's 20km Individual/Men's 10km Sprint/Mixed Relay 4 x 6km (M+W)
233,BJORKSTRAND Oliver,DEN,M,Ice Hockey,Men
234,BLACKWELL Chase,USA,M,Snowboard,Men's Snowboard Halfpipe
