date,time,sport,event,gender,country_code,athlete_name,position
02/12/2026,13:28,Snowboard,Women's Snowboard Halfpipe Final Run 3,Women,JPN,ONO M,3
02/12/2026,14:32,Short Track Speed Skating,Women's 500m - Final A,Women,NED,VELZEBOER X,1
02/12/2026,14:32,Short Track Speed Skating,Women's 500m - Final A,Women,ITA,FONTANA A,2
02/12/2026,14:32,Short Track Speed Skating,Women's 500m - Final A,Women,CAN,SARAULT C,3
02/12/206,14:48,Short Track Speed Skating,Men's 1000m - Final A,Men,NED,van T WOUT J,1
02/12/206,14:48,Short Track Speed Skating,Men's 1000m - Final A,Men,CHN,SUN L,2
02/12/206,14:48,Short Track Speed Skating,Men's 1000m - Final A,Men,KOR,RIM J,3
02/13/2026,4:45,Cross-Country Skiing,Men's 10km Interval Start Free,Men,NOR,KLAEBO J,1
02/13/2026,4:45,Cross-Country Skiing,Men's 10km Interval Start Free,Men,FRA,DESLOGES M,2
02/13/2026,4:45,Cross-Country Skiing,Men's 10km Interval Start Free,Men,NOR,HEDEGART E,3
02/13/2026,7:00,Biathlon,Men's 10km Sprint,Men,FRA,FILLON MAILLET Q,1
02/13/2026,7:00,Biathlon,Men's 10km Sprint,Men,NOR,CHRISTIANSEN Vetle S,2
02/13/2026,7:00,Biathlon,Men's 10km Sprint,Men,NOR,LAEGREID Sturia H,3
02/13/2026,7:46,Snowboard,Women's Snowboard Cross Big Final,Women,AUS,BAFF J,1
02/13/2026,7:46,Snowboard,Women's Snowboard Cross Big Final,Women,CZE,ADAMCZYKOVA E,2
02/13/2026,7:46,Snowboard,Women's Snowboard Cross Big Final,Women,ITA,MOIOLI M,3
02/13/2026,9:00,Speed Skating,Men's 1000m,Men,CZE,JILEK M,1
02/13/2026,9:00,Speed Skating,Men's 1000m,Men,POL,SEMIRUNNIY V,2
02/13/2026,9:00,Speed Skating,Men's 1000m,Men,NED,BERGSMA J,3
02/13/2026,12:00,Figure Skating,Men's Single Skating,Men,KAZ,SHAIDOROV M,1
02/13/2026,12:00,Figure Skating,Men's Single Skating,Men,JPN,KAGIYAMA Y,2
02/13/2026,12:00,Figure Skating,Men's Single Skating,Men,JPN,SATO S,3
02/13/2026,13:28,Snowboard,Men's SBD HP Final Run 3,Men,JPN,TOTSUKA Y,1
02/13/2026,13:28,Snowboard,Men's SBD HP Final Run 3,Men,AUS,JAMES S,2
02/13/2026,13:28,Snowboard,Men's SBD HP Final Run 3,Men,JPN,YAMADA R,3
02/13/2026,14:05,Skeleton,Men Heat 4,Men,GBR,WESTON M,1
02/13/2026,14:05,Skeleton,Men Heat 4,Men,GER,JUNGK A,2
02/13/2026,14:05,Skeleton,Men Heat 4,Men,GER,GROTHEER C,3
02/14/2026,04:46,Freestyle Skiing,Women's Dual Moguls,Women,AUS,ANTHONY J,1
02/14/2026,04:46,Freestyle Skiing,Women's Dual Moguls,Women,USA,KAUF J,2
02/14/2026,04:46,Freestyle Skiing,Women's Dual Moguls,Women,USA,LEMLEY E,3
