team_id,team_name,gender_category
376,Norway,Men
377,Norway,Men
378,Norway,Women
379,Norway,Men
380,Norway,Men
381,Norway,Mixed
382,Norway,Mixed
383,Norway,Men
386,Norway,Mixed
387,Norway,Men
388,Norway 1,Men
389,Norway 2,Men
390,CHMIELEWSKI Wojciech/GANCARCZYK Michal,Men
391,CHTCHETININA Ioulia/WOZNIAK Michal,Mixed
392,DOMOWICZ Nikola/PIWKOWSKA Dominika,Women
393,DOVHAL Sofiia/KULESZA Wiktor,Mixed
394,Poland,Mixed
395,Poland,Men
396,Poland,Mixed
397,Poland,Mixed
398,Poland,Mixed
399,Poland,Men
401,Poland,Mixed
402,Poland,Mixed
405,Poland,Women
406,Poland,Men
407,WEISZEWSKI Linda,Women
408,GITLAN Vasile-Marian/SERBAN Darius-Lucian,Men
409,Romania,Men
410,Romania,Mixed
411,Romania,Mixed
412,Romania,Men
414,STRAMATURARU Raluca/MANOLESCU Mihaela-Carmen,Women
415,TENTEA Mihai Cristian,Men
416,TENTEA Mihai Cristian,Men
417,BOSMAN Christian/MICK Bruno,Men
418,CERNANSKA Viktoria,Women
419,PRAXOVA Viktoria/SPITZOVA Desana,Women
420,Slovakia,Mixed
422,Slovakia,Men
423,Slovakia,Women
424,Slovakia,Mixed
425,Slovakia,Women
426,Slovenia,Women
427,Slovenia,Mixed
428,Slovenia,Men
429,Slovenia,Women
433,Slovenia,Men
434,Slovenia,Mixed
435,Slovenia,Men
436,SMART Olivia/DIECK Tim,Mixed
438,Spain,Mixed
439,VAL Sofia/KAZIMOV Asaf,Mixed
440,REITAN Milla Ruud/MAJOROV Nikolaj,Mixed
441,Sweden,Men
442,Sweden,Mixed
443,Sweden,Women
445,Sweden,Men
446,Sweden,Women
447,Sweden,Men
450,Sweden,Mixed
451,Sweden,Women
452,Sweden,Men
453,ANNEN Debora,Women
454,FOLLADOR Cedric,Men
455,FOLLADOR Cedric,Men
456,HASLER Melanie,Women
457,ROHNER Timo,Men
458,ROHNER Timo,Men
459,Switzerland,Men
460,Switzerland,Women
461,Switzerland,Mixed
462,Switzerland,Men
464,Switzerland,Men
465,Switzerland,Women
466,Switzerland,Men
467,Switzerland,Mixed
470,Switzerland,Women
471,Switzerland,Men
472,Switzerland,Mixed
473,Switzerland 1,Women
474,Switzerland 1,Men
475,Switzerland 1,Mixed
476,Switzerland 2,Men
477,Switzerland 2,Women
478,Switzerland 3,Women
479,Switzerland 3,Men
480,Switzerland 4,Men
481,Switzerland 4,Women
482,VOGT Michael,Men
483,VOGT Michael,Men
484,LIN Sin-Rong,Women
485,BROWN Axel,Men
486,BROWN Axel,Men
487,Turkiye,Men
488,HOI Ihor/KACHMAR Nazarii,Men
489,MARTSINOVSKYI Danyil/BABURA Bohdan,Men
490,STETSKIV Olena/MOKH Oleksandra,Women
492,Ukraine,Men
493,Ukraine,Men
494,Ukraine,Mixed
495,Ukraine,Men
496,Ukraine,Women
497,Ukraine,Mixed
500,ARMBRUSTER HUMPHRIES Kaillie,Women
501,CARREIRA Christina/PONOMARENKO Anthony,Mixed
502,CHAN Emily/HOWE Spencer Akira,Mixed
503,CHOCK Madison/BATES Evan,Mixed
504,CURTIS Kelly/BAREFOOT Daniel,Mixed
505,del DUCA Frankie,Men
506,del DUCA Frankie,Men
507,DIGREGORIO Zachary/HOLLANDER Sean,Men
508,FORGAN Chevonne/KIRKBY Sophia,Women
509,HORN Kristopher,Men
510,KAM Ellie/O'SHEA Danny,Mixed
511,LOVE Kaysha,Women
512,MEYERS TAYLOR Elana,Women
513,MUELLER Marcus/HAUGSJAA Ansel,Men
514,RO Mystique/FLORIAN Austin,Mixed
517,United States of America,Mixed
518,United States of America,Women
519,United States of America,Men
520,United States of America,Men
521,United States of America,Mixed
522,United States of America,Men
523,United States of America,Mixed
524,United States of America,Men
525,United States of America,Mixed
526,United States of America,Women
527,United States of America,Mixed
528,United States of America,Men
529,United States of America,Women
532,United States of America,Mixed
533,United States of America,Women
534,United States of America,Men
535,United States of America,Mixed
