athlete_id,event_id,ranking
714,54,NULL
716,53,NULL
718,30,NULL
718,27,NULL
719,46,NULL
719,52,1
721,29,NULL
722,48,NULL
722,50,NULL
723,47,NULL
723,49,NULL
724,100,1
724,94,NULL
725,12,NULL
727,57,NULL
728,29,NULL
729,28,NULL
731,29,NULL
731,28,NULL
733,11,NULL
733,13,NULL
733,15,NULL
737,54,NULL
738,29,NULL
738,25,NULL
739,47,NULL
739,49,NULL
741,12,NULL
741,14,NULL
742,54,NULL
743,29,NULL
743,28,NULL
744,108,NULL
746,5,NULL
747,45,NULL
747,51,NULL
748,97,NULL
749,79,NULL
750,12,NULL
750,14,NULL
751,100,NULL
751,94,NULL
752,45,NULL
752,51,NULL
753,117,NULL
756,1,NULL
756,5,NULL
757,92,NULL
759,117,NULL
760,48,NULL
760,50,NULL
762,15,NULL
762,91,NULL
764,69,NULL
765,112,NULL
765,114,NULL
766,12,NULL
766,14,NULL
768,100,NULL
768,94,NULL
769,15,NULL
769,91,NULL
770,96,NULL
771,47,NULL
771,49,NULL
772,11,NULL
772,13,NULL
773,117,NULL
775,12,NULL
775,14,NULL
778,103,NULL
778,107,NULL
779,47,NULL
779,49,NULL
780,11,NULL
780,13,NULL
780,15,NULL
781,89,NULL
783,54,NULL
786,117,NULL
787,28,NULL
788,88,NULL
789,8,NULL
792,103,NULL
792,114,3
794,29,NULL
794,25,NULL
795,30,NULL
795,26,NULL
798,63,NULL
800,41,NULL
801,59,NULL
803,56,NULL
804,1,3
804,5,NULL
805,40,NULL
807,104,NULL
807,113,NULL
807,102,NULL
807,115,NULL
808,74,NULL
809,93,NULL
810,47,NULL
810,49,NULL
812,118,NULL
813,48,NULL
813,50,3
814,117,NULL
815,27,NULL
816,6,NULL
816,4,NULL
817,63,NULL
820,40,NULL
821,6,NULL
822,6,NULL
823,4,NULL
824,1,NULL
824,5,NULL
825,59,NULL
826,30,NULL
826,26,NULL
827,30,NULL
827,27,NULL
829,63,NULL
830,45,1
830,51,NULL
831,1,NULL
831,5,NULL
833,54,NULL
834,97,NULL
835,113,NULL
835,102,NULL
835,106,NULL
835,115,1
836,29,NULL
836,28,NULL
837,27,NULL
838,95,2
839,30,NULL
839,26,NULL
839,27,NULL
840,112,NULL
840,103,NULL
841,79,3
842,12,NULL
844,108,NULL
844,105,NULL
844,114,NULL
846,59,1
846,45,2
846,51,2
847,40,NULL
848,41,NULL
849,46,NULL
849,52,NULL
852,29,NULL
852,28,NULL
855,6,NULL
855,4,NULL
856,117,NULL
858,63,NULL
862,40,NULL
863,11,NULL
863,13,NULL
863,15,NULL
864,98,NULL
864,91,NULL
865,63,NULL
867,41,NULL
869,116,NULL
869,4,NULL
870,98,NULL
873,29,NULL
873,28,NULL
874,12,NULL
874,14,NULL
875,27,NULL
876,95,1
877,40,NULL
879,30,NULL
880,28,NULL
882,11,NULL
883,26,NULL
884,122,NULL
885,46,2
885,52,NULL
887,112,NULL
887,103,NULL
887,107,NULL
887,114,NULL
888,113,NULL
888,102,NULL
888,106,NULL
