athlete_id, team_id
644,213
647,179
656,464
658,68
659,181
666,283
673,124
674,77
675,64
683,411
684,455
684,454
687,279
687,278
688,464
693,508
693,521
694,447
695,447
696,275
698,174
699,171
702,371
703,372
703,371
704,536
705,523
707,212
710,517
711,347
712,215
715,208
715,207
717,276
720,276
730,422
732,169
734,63
734,65
735,170
740,390
740,394
741,25
745,68
758,212
761,276
763,212
766,325
767,464
772,517
774,422
776,533
777,274
778,280
780,290
781,525
782,241
784,66
785,334
790,12
791,273
792,280
793,347
796,408
796,410
797,464
799,213
800,535
802,276
805,66
806,12
807,324
808,110
808,111
811,68
818,153
820,274
828,248
832,178
835,366
840,219
843,212
848,200
850,124
851,347
853,170
854,537
857,275
859,268
859,274
860,536
861,93
861,100
863,402
865,521
866,447
867,274
871,213
872,213
878,67
881,213
886,247
886,248
888,72
889,446
890,165
891,446
892,307
893,142
895,164
897,8
898,115
898,99
901,108
902,102
904,537
906,243
908,213
910,67
913,13
914,305
916,177
917,472
919,536
927,456
928,39
929,451
932,521
933,153
934,25
936,195
936,196
941,63
944,447
945,446
947,275
949,213
951,195
951,196
952,536
953,153
954,451
956,537
958,213
959,245
963,379
965,527
967,241
970,124
971,465
973,123
977,18
978,164
979,154
988,153
989,316
995,159
996,464
997,307
998,446
999,422
1005,16
1006,218
1007,290
1008,283
1010,215
1012,220
1014,494
1018,446
1019,447
1021,154
1023,142
1025,64
1028,213
1029,314
1031,509
1033,133
1034,497
1035,67
1037,307
1038,95
1038,100
1040,460
1042,535
1043,54
1045,124
1049,94
1053,422
1057,537
1059,537
1061,367
1062,169
1065,336
1065,337
1067,123
1074,54
1076,324
1081,284
1083,416
1083,415
1084,278
1089,517
1091,307
1093,422
1097,317
1099,245
1100,63
1104,464
1105,420
1110,347
1115,536
1117,231
1118,398
1119,68
1120,67
1122,220
1124,181
1128,68
1129,141
1130,141
1131,141
1132,331
1134,335
1135,102
1138,99
1141,213
1142,227
1147,446
1148,447
1149,446
1150,485
1150,486
1151,486
1158,153
1160,523
1163,464
1165,95
1165,100
1166,170
1171,446
1175,123
1176,126
1179,494
1184,212
1185,283
1187,153
1188,212
1189,146
1190,346
1190,345
1191,232
1193,123
1194,535
1196,124
1197,315
1197,316
1198,275
1200,153
1203,209
1214,154
1218,447
1220,446
1222,154
1223,124
1226,259
1230,307
1233,154
1235,422
1236,170
1237,537
1238,536
1240,447
1241,124
1242,63
1245,366
1248,554
1250,323
1255,527
1259,336
1259,338
1262,333
1263,329
1263,330
1268,334
1270,335
1271,334
1273,331
1276,20
1279,36
1279,20
1280,325
1282,508
1282,521
1283,374
1285,467
1286,153
1288,446
1294,427
1296,381
1298,126
1299,126
1301,213
1303,464
1304,536
1305,451
1306,374
1307,309
1308,311
1313,141
1314,422
1319,307
1324,535
1330,379
1337,153
1342,371
1344,276
1345,309
1352,197
1352,171
1353,197
1353,171
1354,307
1361,358
1361,357
1363,347
1366,133
1372,123
1381,124
1384,148
1385,67
1387,464
1391,124
1393,154
1395,464
1397,424
1399,382
1402,154
1403,159
1406,459
1411,66
1414,154
1415,66
1419,72
1421,243
1426,447
1427,214
1428,48
1429,434
1430,153
1431,70
1435,537
1436,276
1437,68
1438,142
1439,123
1440,141
1441,66
1442,141
1443,141
1444,247
1444,248
1447,169
1453,526
1455,333
1456,337
1459,337
1465,338
1469,465
1474,153
1475,528
1476,165
1477,153
1481,357
1483,527
1483,526
1484,179
1484,178
1486,535
1487,96
1487,97
1489,108
1494,112
1497,101
1502,373
1503,48
1506,154
1508,146
1510,332
1510,333
1513,484
1514,484
1515,110
1515,112
1516,153
1517,447
1518,447
1519,382
1522,422
1525,535
1526,109
1529,104
1530,110
1530,112
1532,118
1532,99
1534,446
1537,271
1538,275
1541,235
1541,234
1542,347
1550,171
1551,280
1552,87
1553,180
1555,511
1559,153
1561,446
1563,153
1565,526
1566,465
1568,537
1570,153
1571,274
1576,307
1580,442
1585,256
1586,440
1588,67
1592,280
1593,464
1595,535
1596,397
1600,68
1601,72
1602,219
1603,347
1604,169
1607,40
1607,41
1608,494
1609,497
1610,529
1611,414
1611,410
1612,276
1614,67
1620,271
1621,422
1623,447
1625,67
1627,465
1628,464
1633,311
1634,68
1637,307
1638,271
1640,153
1643,206
1643,214
1647,537
1649,275
1651,465
1654,275
1659,472
1660,464
1668,465
1670,497
1671,347
1672,169
1673,209
1674,201
1674,200
1676,512
1678,212
1680,66
1681,459
1683,417
1688,153
1689,346
1694,174
1696,537
1700,164
1702,263
1702,262
1704,64
1708,307
1710,315
1710,317
1712,123
1719,141
1726,490
1726,494
1727,418
1735,255
1735,256
1741,276
1742,313
1744,324
1745,245
1746,67
1749,273
1749,272
1751,464
1752,77
1754,243
1754,244
1759,123
1760,16
1763,20
1764,521
1768,465
1769,212
1770,134
1771,212
1775,536
1779,209
1782,529
1785,67
1786,537
1789,67
1790,528
1798,79
1799,451
1800,243
1804,536
1805,279
1805,277
1809,387
1810,315
1810,316
1817,315
1817,316
1818,535
1819,221
1822,124
1823,170
1824,386
1827,520
1831,249
1832,537
1833,422
1836,387
1837,123
1839,275
1841,249
1842,212
1844,464
1845,154
1846,397
1848,311
1849,323
1851,109
1858,213
1859,314
1862,255
1862,256
1863,336
1863,338
1864,236
1865,169
1866,313
1871,307
1872,307
1880,68
1881,154
1883,447
1884,446
1885,154
1886,535
1889,68
1890,304
1890,283
1892,307
1896,442
1898,537
1902,554
1904,309
1907,422
1908,534
1910,141
1912,179
1912,178
1913,452
1914,446
1917,309
1924,68
1926,220
1927,275
1929,415
1931,460
1934,174
1935,124
1936,218
1937,159
1939,536
1941,77
1942,67
1953,124
1956,258
1961,123
1962,123
1963,123
1966,169
1973,66
1976,170
1977,181
1981,123
1982,276
1983,212
1985,65
1986,533
1987,533
1989,47
1989,46
1992,447
1993,219
1994,169
1999,169
2000,536
2001,169
2004,497
2005,70
2007,275
2008,276
2009,397
2011,273
2016,123
2017,306
2017,305
2019,392
2019,394
2021,427
2024,123
2025,349
2027,89
2030,66
2032,535
2033,442
2042,422
2043,68
2044,141
2045,368
2045,370
2047,419
2049,221
2050,434
2051,434
2052,277
2053,123
2063,276
2067,332
2067,333
2068,169
2069,465
2070,520
2074,215
2075,447
2076,4
2077,325
2081,387
2082,387
2083,154
2084,153
2087,350
2088,446
2089,159
2092,347
2093,447
2095,170
2098,364
2099,422
2101,212
2104,67
2105,215
2107,440
2115,427
2118,273
2121,275
2123,464
2125,90
2129,534
2134,283
2135,212
2137,366
2138,336
2138,337
2140,196
2141,153
2142,170
2144,274
2147,355
2147,349
2149,275
2154,458
2154,457
2163,69
2163,70
2165,169
2166,347
2168,465
2170,77
2171,534
2172,141
2173,124
2176,422
2192,275
2193,212
2199,442
2200,537
2202,67
2203,527
2203,526
2205,123
2206,276
2207,69
2207,71
2210,153
2211,313
2212,314
2213,307
2223,154
2225,536
2226,465
2227,213
2229,154
2231,451
2237,209
2239,213
2240,171
2241,66
2244,220
2245,464
2249,464
2254,213
2257,220
2262,20
